OBJECTID,tripID,source,Choice,Options,turnsPerkm,turnsLeftPerkm,turnsRightPerkm,perc_Detour,signalsPerkm,percCycleWay,percBikeLane,percSharrow,percFootway,percPrimary,percSecondary,percResidential,FlickrPerkm,PSOverlap,WorkoutType,percImpervious,percRoadRailroad,percBareGround,percBldg,percGrass,percTree,percWetland,percInlandWater,percCropland,percOcean,percBeach
374,660050342,Google,0,4,0.831548,0.237585,0.593963,4.090688,1.781888,56.50422,7.389339,0,0.350211,0.852202,0,17.77279,69.85001,-0.916015,2 sport,30.28781,28.94467,0.428722,14.44361,11.61775,13.59376,0,0.683676,0,0,0
375,660050342,MapQuest,0,4,0.800577,0.228736,0.571841,8.117442,2.5161,0,40.75408,0,0,1.139536,37.30794,0,53.40995,-0.205502,2 sport,29.03111,21.76628,0.40393,18.72726,9.739811,19.67658,0,0.655022,0,0,0
376,660050342,Shortest Path,0,4,1.607476,0.494608,1.112868,0,0.989216,39.6816,0,1.923596,0,3.833149,16.4392,27.99893,42.90723,-0.379654,2 sport,27.90551,28.8294,0.506186,15.66261,11.57012,14.5583,0,0.967884,0,0,0
357,660372130,Endomondo,1,4,2.379668,1.529786,0.849881,17.91614,1.35981,9.028507,0.509267,0,0.31863,7.911119,7.83427,22.53297,278.4211,-0.231508,2 sport,31.64987,24.91942,1.47015,13.1081,14.22612,8.940761,0,5.685574,0,0,0
358,660372130,Google,0,4,1.253932,0.313483,0.940449,27.87261,2.507864,0,38.05654,7.359106,0,14.49507,34.4214,2.142317,77.90052,-0.230323,2 sport,31.33536,22.87781,1.732704,14.72549,13.02524,11.28442,0,5.018975,0,0,0
359,660372130,MapQuest,0,4,1.192933,0.397645,0.795289,0.808354,3.181156,0,0,0,0,0,78.80822,21.19178,49.70556,-0.463753,2 sport,30.55486,25.39193,0.993628,22.97489,10.36843,8.144596,0,1.571667,0,0,0
360,660372130,Shortest Path,0,4,2.004294,0.400859,1.603436,0,3.206871,0,0,0,0,0,75.07187,24.92813,46.09877,-0.475922,2 sport,29.53368,24.83545,0.958271,23.38531,11.49606,8.204993,0,1.58624,0,0,0
305,662155460,Endomondo,1,4,1.035364,0.517682,0.517682,4.907743,1.423625,47.1586,0,0,2.555419,2.260914,15.19269,12.22055,2.911961,-0.115122,2 sport,22.00029,18.08682,0.584583,10.81777,24.05527,20.77875,0.696315,0.913298,2.06691,0,0
306,662155460,Google,0,4,0.407001,0.135667,0.271334,0.077423,1.560171,0,29.39575,0,0.026557,0,69.93082,1.282142,5.087515,-0.829799,2 sport,24.00773,20.13395,0.525709,10.89154,22.16802,19.16103,0.274495,1.200035,1.637494,0,0
307,662155460,MapQuest,0,4,0.676852,0.338426,0.338426,0.296735,1.353704,0,32.37627,0,0,0,76.90526,8.161476,12.04797,-0.175347,2 sport,26.41118,21.38484,0.476293,11.3862,18.41929,20.69269,0.166959,0.594624,0.467918,0,0
